spa,eng
Una experiencia familiar con COVID-19 en casa,A Family’s Experience with COVID-19 at Home
,
Orientación precisa y de fácil comprensión para las familias y comunidades que deben cuidar a los pacientes con COVID-19 en el hogar sin ayuda médica. ,
"Lois W. Varenkamp  Imágenes por Mark Marcuson, © 2021 SIL International. CC BY-NC 4.0.",
"Adaptado con permiso de “COVID-19 Home Based Care: How  to do it best for the patient and the family,” (Cuidar a los que contagian Covid-19: Cómo hacerlo mejor para el paciente y la familia), 2020, Difaem - German Institute for Medical Mission, www.difaem         Este recurso se ha desarrollado utilizando fuentes acreditadas de salud pública únicamente con fines educativos. No sustituye el consejo médico profesional. Si tiene preguntas o inquietudes sobre cualquier tema descrito aquí, consulte a un profesional de la salud. ",
,
"Anita y su familia viven en un pueblo pequeño. Le encanta su trabajo como maestra, pero la escuela está cerrada debido al virus COVID-19.",Anita and her family live in a small town. She loves her job as teacher but the school is closed because of the COVID-19 virus.
"En casa, Anita ha escuchado programas de radio y ha aprendido mucho sobre el virus y cómo evitar que se propague.","At home, Anita has listened to radio programs and has learned a lot about the virus and how to keep it from spreading."
"Con todo lo que ha aprendido, Anita ayuda a enseñar a su comunidad cómo evitar ser contagiado por el virus.",With all that she has learned Anita helps to teach her community how to keep themselves safe from the virus.
"Aunque salir y hablar con mucha gente aumenta el riesgo de contraer el virus,  ella sabe que es importante que todos sepan cómo prevenir la propagación del virus. Les enseña a sus vecinos: ""Debemos lavarnos las manos con frecuencia""."," Even though going out and talking with lots of people increases her risk of getting the virus, she knows that it’s important for everyone to know how to prevent the virus from spreading. She teaches her neighbors, “We must be careful to wash our hands often""."
Luego explica: “Necesitamos usar mascarillas cuando salimos de la casa o cuando estamos con personas que no viven en nuestra casa”.,"Then she explains, “We need to wear masks when we  leave our homes or when we are with people who do not live in the same house as us""."
"""También debemos tratar de evitar pasar mucho tiempo con personas ajenas a nuestro hogar”.","""We also must try to avoid spending lots of time with people outside of our own household""."
"“Además, debemos mantenernos a dos metros de otras personas cuando compramos, trabajamos o hablamos con los vecinos”.","""Also, we need to keep two meters away from other people when we shop, work or talk to neighbors""."
"""Hacer estas cosas ayudará a evitar que el virus pase de persona a persona"".","""Doing these things will help to stop the virus from spreading from person to person”."
"Un día, Anita no se siente bien. Tiene un fuerte dolor de cabeza, fiebre y ha comenzado a toser. Además, se da cuenta de que no puede oler ni saborear la comida. Anita reconoce que tiene Covid-19.","One day, Anita doesn’t feel well. She has a bad headache, a fever, and has begun to cough. Also, she notices that she cannot taste or smell her food. Anita realizes that she has Covid-19. "
"Inmediatamente le dice a su familia: “Todos debemos quedarnos en casa y mantenernos alejados de los demás. Es posible que ustedes también tengan el virus, aunque no se sientan enfermos. Fácilmente podrían contagiar el virus a otros"".","Right away she tells her family and says, “We all need to stay home and keep away from others. You might have the virus, too, even though you do not feel sick. You could easily spread the virus to others.”"
Entonces Anita comienza a quedarse sola en una habitación separada.Ella no quiere contagiar la enfermedad a su familia.,"Then Anita goes and stays alone in a separate room, away from the family. She does not want to give them the sickness."
"David, el marido de Anita, se hace cargo de ella. Él le trae comida y se lleva los platos vacíos. Él mantiene los platos que Anita usa separados de los que usan la familia.","Anita’s husband, David, takes care of her. He brings her food and takes away the empty dishes. He keeps her dishes separate and only Anita uses them."
David siempre usa una mascarilla cuando entra a la habitación dónde queda Anita. También se lava las manos cada vez que hace algo por ella. Anita también pone una mascarilla cuando él entra a la habitación.,David always wears a mask whenever he goes into her room. He also washes his hands every time he does anything for her. Anita also wears a mask when he comes into the room.
"La familia comparte un baño. Así que, cuando Anita lo usa, siempre usa una mascarilla.","The family shares one bathroom. So whenever Anita uses it, she always wears a mask. "
"Cuando termina, ella limpia el baño con una solución desinfectante antes de regresar a su habitación.","When she is done, she wipes down the bathroom with a disinfectant solution before going back to her room."
"Después de un par de días, Marcos, el hijo de 8 años también comienza a sentirse mal. Luego, a la madre de Anita que vive con ellos, le da fiebre. Ambos se mudan a la misma habitación con Anita para tratar de mantener sanos al resto de la familia.  El marido de Anita sigue siendo el único de la familia que trae comida y cuida a los tres familiares enfermos.  La habitación donde se alojan Anita, su madre y Marcos es pequeña y está abarrotada. ","After a couple of days, Marcos, Anita’s 8 year old son, starts feeling bad too. Then her mother, who lives with them, develops a fever. They both move into the same room with Anita to try to keep the rest of the family safe.  Anita’s husband continues to be the only one in the family who brings food and cares for the three sick family members.  The room where Anita, her mother, and Marcos stay is small and crowded."
"Afortunadamente, la habitación tiene una puerta al exterior. David establece un lugar fuera de la puerta donde los tres miembros enfermos de la familia pueden descansar y disfrutar del aire fresco.","Happily, it has a door to the outside. David sets up a place outside the door where the three sick family members can rest and enjoy the fresh air."
"Para ayudar, las hijas de Anita y David cocinan y lavan la ropa.",Anita and David’s daughters cook and do the laundry to help out.
"Algunos vecinos traen víveres y medicinas para la fiebre, para evitar que la familia transmita la enfermedad yendo ellos mismos a las tiendas. Ellos entienden que incluso las personas que no se sienten enfermas pueden tener el virus y transmitir la enfermedad. Saben que es importante que toda la familia de Anita y David se quede en casa.", Some neighbors bring groceries and fever medicines so that the family does not spread the disease by going to the shops themselves. They understand that even people who do not feel sick might have the virus and can spread the illness. They know it is important that Anita and David's whole family stays at home.
"David les dice a los vecinos: “¡No se acerquen a nuestros familiares enfermos! No queremos que ustedes también se enfermen. Pero, por favor, ore por ellos, cante canciones y visítelos desde fuera del recinto"".","David says to the neighbors, “Do not come close to our sick family members! We do not want you to get sick, too. But please do pray for them, sing songs and visit with them from outside the enclosure.”"
El pastor viene cada dos días para orar por los enfermos y animarlos leyendo las Escrituras en voz alta desde el otro lado de la cerca. También tiene cuidado de usar una mascarilla.,"The pastor comes every couple of days to pray for the sick, and encourage them by reading the Scriptures aloud from across the fence. He is careful to wear a mask as well."
"María, la trabajadora de salud comunitaria, le ha enseñado a David cómo cuidar a su familia enferma. Sabe cómo darles medicamentos para la fiebre cuando lo necesiten.  Cuando no pueden comer mucho, les da de comer un simple caldo caliente y sopa. Sus hijas ayudan cocinando el caldo.","The Community Health Worker, Maria, has taught David how to care for his sick family. He knows to give them fever medicine when they need it.  When they cannot eat much, he feeds them simple hot broth and soup. His daughters help by cooking the broth."
"Su suegra, Flora, está tan enferma que no puede comer nada.","His mother-in-law, Flora, gets so ill that she cannot eat anything."
"Entonces, David mezcla 8 cucharaditas de azúcar y 1/2 cucharadita de sal en un litro de agua pura para que Flora beba. Intenta asegurarse de que todos beban dos litros de líquido al día.","So, David  mixes 8 teaspoons of sugar and 1/2 teaspoon of salt in a liter of clean water for Flora to drink. He tries to make sure that they all drink two liters of liquid per day."
"Después de varios días de estar muy enferma, Anita comienza a sentirse mejor. Su hijo, Marcos, no se enferma mucho y se recupera muy rápido.","After several days of being very sick, Anita begins to feel better. Her son, Marcos, does not get very sick and recovers very quickly."
"Flora, la madre de Anita, comienza a sentirse mejor por un par de días, pero luego se enferma de nuevo. Su fiebre sube y comienza a tener dificultad para respirar.  Anita tiene miedo por su madre. Ella le dice a David: ""¡Tenemos que llevar a mamá al médico!""  David responde: “Ojalá pudiéramos. Pero debido al bloqueo no hay autobuses en funcionamiento. ¡Incluso María, nuestra trabajadora de salud comunitaria, no puede venir!""","Flora, Anita’s mother, starts to feel better for a couple of days, too, but then she gets sicker again. Her fever goes up and she begins to have difficulty breathing.  Anita is scared for her mother. She says to David, “We need to take Mama to the Doctor!”  David replies, “I wish we could. But because of the lockdown there are no buses running. Even Maria, our Community Health Worker, can’t come!"""
"Afortunadamente, Anita puede llamar a María por teléfono para recibir algunos consejos sobre cómo cuidar a su madre.","Thankfully, Anita is able to call Maria on the phone to get some advice about how to take care of her mother."
"María le dice: “Recuerde que todos ustedes deben quedarse en cuarentena para evitar contagiar al resto de la comunidad. Hay formas en que puedes ayudar a tu madre incluso si no puedes salir"".","Maria tells her, “Remember that all of you still need to quarantine from the rest of the community to keep from spreading the disease. There are ways you can help your mother even if you cannot go out.”"
"Ella le dice a Anita: “Ahora puedes cuidar de tu madre ya que has tenido Covid-19 y es poco probable que lo vuelvas a tener de inmediato. Ella debe seguir bebiendo líquidos y su habitación debe estar bien ventilada"". María se alegra de saber que la habitación tiene una puerta al exterior que se puede abrir para dejar entrar el aire.  David abre la puerta y pone una cortina para que entre el aire y las moscas se queden afuera. Cuando la puerta está cerrada, David se asegura de que la ventana esté abierta porque el aire fresco ayuda a Flora a respirar más fácilmente.","She says to Anita, “You can now care for your mother since you have already had Covid-19 and it is unlikely that you will get it again right away. Also, Flora’s room needs to be well-ventilated and she needs to keep drinking liquids"". Maria is glad to hear that the room has a door to the outside, which can be opened to let air inside.  David opens the door and puts a screen curtain up so that the air can come in but the flies stay outside. When the door is shut, David makes sure the window is open because the fresh air helps Flora to breathe more easily. "
Anita ayuda a su madre a tomar sorbos de agua al menos cada hora.,Anita helps her mother take sips of water at least every hour.
Anita aprende de María a hacer que su madre respire profunda y lentamente cada hora. Esto ayuda a Flora a mantener sus pulmones funcionando correctamente.,"Anita learns from Maria to have her mother take some deep, slow breaths every hour. This helps Flora keep her lungs working properly."
Anita también ayuda a Flora a cambiar de posición a menudo. Intenta que Flora se acueste boca abajo siempre que puede porque eso también ayuda a los pulmones de Flora.,Anita also helps Flora change her position often. She tries to have Flora lie on her stomach whenever she can because that also helps Flora’s lungs.
"María también le enseña a Anita otra forma de ayudar a los pulmones de Flora, haciendo una botella de burbujas.","Maria also teaches Anita another way to help Flora’s lungs, by making a bubble bottle."
"Primero, Anita llena una botella de refresco con unos 5 centímetros de agua y mete una pajita en la botella.",First Anita fills a coke bottle with about 5 centimeters of water and puts a straw into the bottle.
"Luego, Flora sopla suavemente en la pajita para hacer que el agua burbujee. Hacer esto varias veces al día por lo menos cada dos horas ayudará a que sus pulmones funcionen mejor.",Then Flora blows gently into the straw to make the water bubble. Doing this several times every couple of hours helps her lungs work better.
Anita está agradecida por todos los consejos de María. Flora lentamente comienza a sentirse mejor y recupera sus fuerzas.,Anita is thankful for all of Maria's advice. Flora slowly begins to feel better and gets her strength back.
"La familia lleva la cuenta de los días transcurridos desde que Anita, Marco y Flora enfermaron por primera vez. Finalmente, al cabo de 14 días, comprueban su temperatura. Ninguno de ellos ha tenido fiebre durante al menos 24 horas, y pueden volver a salir de casa, ya que no van a contagiar la enfermedad.","The family keeps track of the days since Anita, Marco and Flora first got sick. Finally, after 14 days, they check their temperatures. None of them have had a fever for at least 24 hours, and they are able to go out of the house again.They will not spread the sickness anymore."
"Anita espera poder volver a ver pronto a María, la trabajadora de salud comunitaria. Quiere agradecerle todo lo que le ha enseñado a Anita y al resto de la comunidad. David y Anita están contentos de saber que cuidaron a su familia de la mejor manera posible a pesar de que no pudieron ir a buscar ayuda médica en persona.  Muchos otros en su comunidad tienen Covid-19. Anita y David han aprendido tanto que ahora pueden ayudarlos a ellos y a sus familias.","Anita hopes she can see Maria, the Community Health Worker, again soon. She wants to thank her for all she’s taught Anita and the rest of the community. David and Anita are glad to know that they took care of their family in the best possible ways even though they could not go and get medical help in person.  Many others in their community have Covid-19. Anita and David have learned so much that now they can help them and their families."
Su iglesia ha podido animar a la gente rezando y trayendo comida. También ayudan con los funerales de las personas que han muerto a causa del virus y brindan consuelo a las familias y la comunidad en duelo.,Their church has been able to encourage people by praying and bringing food. They also help with funerals of people who have died from the virus and give comfort to the grieving families and community.
"Todos esperan con ansias el momento en que puedan recibir la vacuna para protegerse contra Covid-19. Afortunadamente, mientras esperan, saben qué hacer.","Everyone is looking forward to when they can get the vaccine to protect against Covid-19. Thankfully, while they wait, they know what to do."
"Una experiencia familiar con COVID-19 en casa  Orientación precisa y de fácil comprensión para las familias y comunidades que deben cuidar a los pacientes con COVID-19 en el hogar sin ayuda médica.   Una experiencia familiar con COVID-19 en casa Lois W. Varenkamp  Imágenes por Mark Marcuson, © 2021 SIL International. CC BY-NC 4.0.   Adaptado con permiso de “COVID-19 Home Based Care: How  to do it best for the patient and the family,” (Cuidar a los que contagian Covid-19: Cómo hacerlo mejor para el paciente y la familia), 2020, Difaem - German Institute for Medical Mission, www.difaem         Este recurso se ha desarrollado utilizando fuentes acreditadas de salud pública únicamente con fines educativos. No sustituye el consejo médico profesional. Si tiene preguntas o inquietudes sobre cualquier tema descrito aquí, consulte a un profesional de la salud.     Anita y su familia viven en un pueblo pequeño. Le encanta su trabajo como maestra, pero la escuela está cerrada debido al virus COVID-19. En casa, Anita ha escuchado programas de radio y ha aprendido mucho sobre el virus y cómo evitar que se propague. Con todo lo que ha aprendido, Anita ayuda a enseñar a su comunidad cómo evitar ser contagiado por el virus. Aunque salir y hablar con mucha gente aumenta el riesgo de contraer el virus,  ella sabe que es importante que todos sepan cómo prevenir la propagación del virus. Les enseña a sus vecinos: ""Debemos lavarnos las manos con frecuencia"". Luego explica: “Necesitamos usar mascarillas cuando salimos de la casa o cuando estamos con personas que no viven en nuestra casa”. ""También debemos tratar de evitar pasar mucho tiempo con personas ajenas a nuestro hogar”. “Además, debemos mantenernos a dos metros de otras personas cuando compramos, trabajamos o hablamos con los vecinos”. ""Hacer estas cosas ayudará a evitar que el virus pase de persona a persona"".  Un día, Anita no se siente bien. Tiene un fuerte dolor de cabeza, fiebre y ha comenzado a toser. Además, se da cuenta de que no puede oler ni saborear la comida. Anita reconoce que tiene Covid-19. Inmediatamente le dice a su familia: “Todos debemos quedarnos en casa y mantenernos alejados de los demás. Es posible que ustedes también tengan el virus, aunque no se sientan enfermos. Fácilmente podrían contagiar el virus a otros"". Entonces Anita comienza a quedarse sola en una habitación separada.Ella no quiere contagiar la enfermedad a su familia. David, el marido de Anita, se hace cargo de ella. Él le trae comida y se lleva los platos vacíos. Él mantiene los platos que Anita usa separados de los que usan la familia. David siempre usa una mascarilla cuando entra a la habitación dónde queda Anita. También se lava las manos cada vez que hace algo por ella. Anita también pone una mascarilla cuando él entra a la habitación. La familia comparte un baño. Así que, cuando Anita lo usa, siempre usa una mascarilla. Cuando termina, ella limpia el baño con una solución desinfectante antes de regresar a su habitación. Después de un par de días, Marcos, el hijo de 8 años también comienza a sentirse mal. Luego, a la madre de Anita que vive con ellos, le da fiebre. Ambos se mudan a la misma habitación con Anita para tratar de mantener sanos al resto de la familia.  El marido de Anita sigue siendo el único de la familia que trae comida y cuida a los tres familiares enfermos.  La habitación donde se alojan Anita, su madre y Marcos es pequeña y está abarrotada.  Afortunadamente, la habitación tiene una puerta al exterior. David establece un lugar fuera de la puerta donde los tres miembros enfermos de la familia pueden descansar y disfrutar del aire fresco. Para ayudar, las hijas de Anita y David cocinan y lavan la ropa. Algunos vecinos traen víveres y medicinas para la fiebre, para evitar que la familia transmita la enfermedad yendo ellos mismos a las tiendas. Ellos entienden que incluso las personas que no se sienten enfermas pueden tener el virus y transmitir la enfermedad. Saben que es importante que toda la familia de Anita y David se quede en casa. David les dice a los vecinos: “¡No se acerquen a nuestros familiares enfermos! No queremos que ustedes también se enfermen. Pero, por favor, ore por ellos, cante canciones y visítelos desde fuera del recinto"". El pastor viene cada dos días para orar por los enfermos y animarlos leyendo las Escrituras en voz alta desde el otro lado de la cerca. También tiene cuidado de usar una mascarilla. María, la trabajadora de salud comunitaria, le ha enseñado a David cómo cuidar a su familia enferma. Sabe cómo darles medicamentos para la fiebre cuando lo necesiten.  Cuando no pueden comer mucho, les da de comer un simple caldo caliente y sopa. Sus hijas ayudan cocinando el caldo. Su suegra, Flora, está tan enferma que no puede comer nada. Entonces, David mezcla 8 cucharaditas de azúcar y 1/2 cucharadita de sal en un litro de agua pura para que Flora beba. Intenta asegurarse de que todos beban dos litros de líquido al día. Después de varios días de estar muy enferma, Anita comienza a sentirse mejor. Su hijo, Marcos, no se enferma mucho y se recupera muy rápido. Flora, la madre de Anita, comienza a sentirse mejor por un par de días, pero luego se enferma de nuevo. Su fiebre sube y comienza a tener dificultad para respirar.  Anita tiene miedo por su madre. Ella le dice a David: ""¡Tenemos que llevar a mamá al médico!""  David responde: “Ojalá pudiéramos. Pero debido al bloqueo no hay autobuses en funcionamiento. ¡Incluso María, nuestra trabajadora de salud comunitaria, no puede venir!"" Afortunadamente, Anita puede llamar a María por teléfono para recibir algunos consejos sobre cómo cuidar a su madre. María le dice: “Recuerde que todos ustedes deben quedarse en cuarentena para evitar contagiar al resto de la comunidad. Hay formas en que puedes ayudar a tu madre incluso si no puedes salir"". Ella le dice a Anita: “Ahora puedes cuidar de tu madre ya que has tenido Covid-19 y es poco probable que lo vuelvas a tener de inmediato. Ella debe seguir bebiendo líquidos y su habitación debe estar bien ventilada"". María se alegra de saber que la habitación tiene una puerta al exterior que se puede abrir para dejar entrar el aire.  David abre la puerta y pone una cortina para que entre el aire y las moscas se queden afuera. Cuando la puerta está cerrada, David se asegura de que la ventana esté abierta porque el aire fresco ayuda a Flora a respirar más fácilmente. Anita ayuda a su madre a tomar sorbos de agua al menos cada hora. Anita aprende de María a hacer que su madre respire profunda y lentamente cada hora. Esto ayuda a Flora a mantener sus pulmones funcionando correctamente. Anita también ayuda a Flora a cambiar de posición a menudo. Intenta que Flora se acueste boca abajo siempre que puede porque eso también ayuda a los pulmones de Flora. María también le enseña a Anita otra forma de ayudar a los pulmones de Flora, haciendo una botella de burbujas. Primero, Anita llena una botella de refresco con unos 5 centímetros de agua y mete una pajita en la botella. Luego, Flora sopla suavemente en la pajita para hacer que el agua burbujee. Hacer esto varias veces al día por lo menos cada dos horas ayudará a que sus pulmones funcionen mejor. Anita está agradecida por todos los consejos de María. Flora lentamente comienza a sentirse mejor y recupera sus fuerzas. La familia lleva la cuenta de los días transcurridos desde que Anita, Marco y Flora enfermaron por primera vez. Finalmente, al cabo de 14 días, comprueban su temperatura. Ninguno de ellos ha tenido fiebre durante al menos 24 horas, y pueden volver a salir de casa, ya que no van a contagiar la enfermedad. Anita espera poder volver a ver pronto a María, la trabajadora de salud comunitaria. Quiere agradecerle todo lo que le ha enseñado a Anita y al resto de la comunidad. David y Anita están contentos de saber que cuidaron a su familia de la mejor manera posible a pesar de que no pudieron ir a buscar ayuda médica en persona.  Muchos otros en su comunidad tienen Covid-19. Anita y David han aprendido tanto que ahora pueden ayudarlos a ellos y a sus familias. Su iglesia ha podido animar a la gente rezando y trayendo comida. También ayudan con los funerales de las personas que han muerto a causa del virus y brindan consuelo a las familias y la comunidad en duelo. Todos esperan con ansias el momento en que puedan recibir la vacuna para protegerse contra Covid-19. Afortunadamente, mientras esperan, saben qué hacer.  ","A Family’s Experience with COVID-19 at Home    A Family’s Experience with COVID-19 at Home        Anita and her family live in a small town. She loves her job as teacher but the school is closed because of the COVID-19 virus. At home, Anita has listened to radio programs and has learned a lot about the virus and how to keep it from spreading. With all that she has learned Anita helps to teach her community how to keep themselves safe from the virus.  Even though going out and talking with lots of people increases her risk of getting the virus, she knows that it’s important for everyone to know how to prevent the virus from spreading. She teaches her neighbors, “We must be careful to wash our hands often"". Then she explains, “We need to wear masks when we  leave our homes or when we are with people who do not live in the same house as us"". ""We also must try to avoid spending lots of time with people outside of our own household"". ""Also, we need to keep two meters away from other people when we shop, work or talk to neighbors"". ""Doing these things will help to stop the virus from spreading from person to person”.  One day, Anita doesn’t feel well. She has a bad headache, a fever, and has begun to cough. Also, she notices that she cannot taste or smell her food. Anita realizes that she has Covid-19.  Right away she tells her family and says, “We all need to stay home and keep away from others. You might have the virus, too, even though you do not feel sick. You could easily spread the virus to others.” Then Anita goes and stays alone in a separate room, away from the family. She does not want to give them the sickness. Anita’s husband, David, takes care of her. He brings her food and takes away the empty dishes. He keeps her dishes separate and only Anita uses them. David always wears a mask whenever he goes into her room. He also washes his hands every time he does anything for her. Anita also wears a mask when he comes into the room. The family shares one bathroom. So whenever Anita uses it, she always wears a mask.  When she is done, she wipes down the bathroom with a disinfectant solution before going back to her room. After a couple of days, Marcos, Anita’s 8 year old son, starts feeling bad too. Then her mother, who lives with them, develops a fever. They both move into the same room with Anita to try to keep the rest of the family safe.  Anita’s husband continues to be the only one in the family who brings food and cares for the three sick family members.  The room where Anita, her mother, and Marcos stay is small and crowded. Happily, it has a door to the outside. David sets up a place outside the door where the three sick family members can rest and enjoy the fresh air. Anita and David’s daughters cook and do the laundry to help out.  Some neighbors bring groceries and fever medicines so that the family does not spread the disease by going to the shops themselves. They understand that even people who do not feel sick might have the virus and can spread the illness. They know it is important that Anita and David's whole family stays at home. David says to the neighbors, “Do not come close to our sick family members! We do not want you to get sick, too. But please do pray for them, sing songs and visit with them from outside the enclosure.” The pastor comes every couple of days to pray for the sick, and encourage them by reading the Scriptures aloud from across the fence. He is careful to wear a mask as well. The Community Health Worker, Maria, has taught David how to care for his sick family. He knows to give them fever medicine when they need it.  When they cannot eat much, he feeds them simple hot broth and soup. His daughters help by cooking the broth. His mother-in-law, Flora, gets so ill that she cannot eat anything. So, David  mixes 8 teaspoons of sugar and 1/2 teaspoon of salt in a liter of clean water for Flora to drink. He tries to make sure that they all drink two liters of liquid per day. After several days of being very sick, Anita begins to feel better. Her son, Marcos, does not get very sick and recovers very quickly. Flora, Anita’s mother, starts to feel better for a couple of days, too, but then she gets sicker again. Her fever goes up and she begins to have difficulty breathing.  Anita is scared for her mother. She says to David, “We need to take Mama to the Doctor!”  David replies, “I wish we could. But because of the lockdown there are no buses running. Even Maria, our Community Health Worker, can’t come!"" Thankfully, Anita is able to call Maria on the phone to get some advice about how to take care of her mother. Maria tells her, “Remember that all of you still need to quarantine from the rest of the community to keep from spreading the disease. There are ways you can help your mother even if you cannot go out.” She says to Anita, “You can now care for your mother since you have already had Covid-19 and it is unlikely that you will get it again right away. Also, Flora’s room needs to be well-ventilated and she needs to keep drinking liquids"". Maria is glad to hear that the room has a door to the outside, which can be opened to let air inside.  David opens the door and puts a screen curtain up so that the air can come in but the flies stay outside. When the door is shut, David makes sure the window is open because the fresh air helps Flora to breathe more easily.  Anita helps her mother take sips of water at least every hour. Anita learns from Maria to have her mother take some deep, slow breaths every hour. This helps Flora keep her lungs working properly. Anita also helps Flora change her position often. She tries to have Flora lie on her stomach whenever she can because that also helps Flora’s lungs. Maria also teaches Anita another way to help Flora’s lungs, by making a bubble bottle. First Anita fills a coke bottle with about 5 centimeters of water and puts a straw into the bottle. Then Flora blows gently into the straw to make the water bubble. Doing this several times every couple of hours helps her lungs work better. Anita is thankful for all of Maria's advice. Flora slowly begins to feel better and gets her strength back. The family keeps track of the days since Anita, Marco and Flora first got sick. Finally, after 14 days, they check their temperatures. None of them have had a fever for at least 24 hours, and they are able to go out of the house again.They will not spread the sickness anymore. Anita hopes she can see Maria, the Community Health Worker, again soon. She wants to thank her for all she’s taught Anita and the rest of the community. David and Anita are glad to know that they took care of their family in the best possible ways even though they could not go and get medical help in person.  Many others in their community have Covid-19. Anita and David have learned so much that now they can help them and their families. Their church has been able to encourage people by praying and bringing food. They also help with funerals of people who have died from the virus and give comfort to the grieving families and community. Everyone is looking forward to when they can get the vaccine to protect against Covid-19. Thankfully, while they wait, they know what to do.  "
